,word
0,the
1,of
2,to
3,and
4,a
5,NUM
6,in
7,that
8,is
9,for
10,it
11,on
12,s
13,as
14,with
15,was
16,i
17,are
18,by
19,this
20,not
21,you
22,he
23,at
24,be
25,have
26,from
27,they
28,an
29,has
30,but
31,we
32,his
33,said
34,or
35,who
36,will
37,their
38,more
39,all
40,about
41,one
42,new
43,which
44,can
45,would
46,if
47,what
48,there
49,were
50,had
51,up
52,been
53,people
54,when
55,our
56,so
57,out
58,do
59,t
60,its
61,no
62,like
63,than
64,your
65,she
66,her
67,also
68,some
69,other
70,just
71,my
72,after
73,us
74,time
75,them
76,into
77,now
78,over
79,only
80,even
81,how
82,news
83,because
84,first
85,two
86,many
87,most
88,these
89,could
90,trump
91,state
92,years
93,president
94,any
95,government
96,those
97,year
98,before
99,world
100,URL
101,story
102,get
103,last
104,may
105,against
106,him
107,states
108,iran
109,then
110,being
111,here
112,york
113,me
114,did
115,times
116,while
117,should
118,where
119,make
120,obama
121,american
122,back
123,such
124,see
125,public
126,much
127,know
128,think
129,way
130,please
131,right
132,through
133,day
134,continue
135,very
136,well
137,DATE
138,war
139,made
140,does
141,going
142,health
143,during
144,main
145,united
146,down
147,since
148,reading
149,say
150,under
151,still
152,take
153,percent
154,work
155,good
156,country
157,own
158,house
159,another
160,want
161,use
162,go
163,why
164,recs
165,life
166,must
167,political
168,national
169,off
170,nuclear
171,between
172,both
173,same
174,america
175,including
176,million
177,again
178,need
179,law
180,part
181,today
182,every
183,city
184,three
185,don
186,according
187,around
188,military
189,media
190,money
191,told
192,too
193,never
194,really
195,white
196,long
197,week
198,former
199,sign
200,next
201,iranian
202,fact
203,group
204,without
205,party
206,в
207,later
208,help
209,used
210,few
211,police
212,re
213,home
214,company
215,federal
216,come
217,children
218,try
219,support
220,might
221,says
222,women
223,power
224,foreign
225,end
226,man
227,leader
228,things
229,minister
230,something
231,great
232,campaign
233,report
234,article
235,family
236,system
237,found
238,security
239,islamic
240,show
241,called
242,republican
243,little
244,case
245,school
246,clinton
247,university
248,free
249,place
250,agency
251,left
252,market
253,read
254,washington
255,big
256,bill
257,services
258,am
259,information
260,photo
261,advertisement
262,newsletter
263,head
264,put
265,however
266,special
267,russia
268,court
269,find
270,chief
271,high
272,supreme
273,each
274,best
275,far
276,point
277,view
278,john
279,real
280,change
281,program
282,human
283,let
284,policy
285,business
286,look
287,believe
288,yet
289,nation
290,number
291,administration
292,less
293,already
294,better
295,street
296,though
297,americans
298,days
299,least
300,got
301,issue
302,th
303,energy
304,rights
305,и
306,email
307,black
308,economic
309,iraq
310,election
311,among
312,economy
313,once
314,become
315,office
316,keep
317,department
318,lot
319,attack
320,press
321,history
322,second
323,whether
324,away
325,tax
326,care
327,members
328,ago
329,several
330,officials
331,source
332,order
333,current
334,added
335,others
336,enough
337,general
338,until
339,past
340,video
341,de
342,social
343,international
344,recent
345,came
346,always
347,coming
348,making
349,m
350,center
351,control
352,thing
353,give
354,defense
355,top
356,important
357,comes
358,north
359,men
360,address
361,four
362,set
363,congress
364,team
365,ever
366,products
367,took
368,bush
369,known
370,different
371,food
372,democratic
373,vote
374,actually
375,course
376,global
377,together
378,given
379,name
380,major
381,post
382,republicans
383,open
384,often
385,nothing
386,society
387,ve
388,agree
389,financial
390,plan
391,using
392,china
393,senate
394,book
395,having
396,daily
397,act
398,call
399,student
400,thank
401,receive
402,doing
403,likely
404,oil
405,trade
406,billion
407,small
408,russian
409,young
410,local
411,months
412,went
413,research
414,night
415,old
416,saying
417,water
418,asked
419,person
420,live
421,working
422,game
423,south
424,pay
425,reported
426,democrats
427,share
428,donald
429,offers
430,within
431,talk
432,early
433,almost
434,companies
435,done
436,run
437,seen
438,question
439,future
440,director
441,death
442,deal
443,full
444,politics
445,sure
446,able
447,problem
448,organization
449,love
450,month
451,west
452,god
453,means
454,five
455,across
456,won
457,d
458,risk
459,israel
460,trying
461,community
462,countries
463,friday
464,justice
465,plus
466,soon
467,online
468,site
469,large
470,instead
471,getting
472,bank
473,reason
474,thought
475,republic
476,job
477,kind
478,along
479,box
480,occurred
481,service
482,leave
483,start
484,rather
485,anything
486,clear
487,updates
488,reports
489,turned
490,hard
491,force
492,issues
493,groups
494,based
495,stop
496,taking
497,feel
498,claims
499,possible
500,side
501,following
502,data
503,someone
504,recently
505,tell
506,taken
507,matter
508,wrote
509,students
510,process
511,subscribe
512,на
513,east
514,makes
515,bad
516,private
517,industry
518,true
519,example
520,line
521,play
522,error
523,seems
524,evidence
525,behind
526,area
527,culture
528,select
529,move
530,monday
531,action
532,hillary
533,everyone
534,themselves
535,study
536,lost
537,games
538,statement
539,face
540,whose
541,committee
542,forces
543,anyone
544,lives
545,close
546,changes
547,david
548,began
549,union
550,shopping
551,syria
552,tuesday
553,idea
554,per
555,border
556,list
557,paul
558,clicking
559,air
560,further
561,didn
562,lead
563,woman
564,half
565,words
566,simply
567,editor
568,decision
569,ali
570,official
571,sunday
572,either
573,everything
574,especially
575,readers
576,late
577,subject
578,middle
579,robot
580,google
581,legal
582,occasional
583,himself
584,truth
585,leaders
586,tehran
587,race
588,church
589,interest
590,below
591,held
592,looking
593,probably
594,executive
595,education
596,add
597,living
598,verify
599,follow
600,nearly
601,despite
602,la
603,price
604,europe
605,killed
606,newsletters
607,hope
608,presidential
609,hours
610,workers
611,six
612,body
613,college
614,weeks
615,invalid
616,personal
617,thursday
618,stories
619,freedom
620,season
621,voters
622,level
623,dangerous
624,needs
625,theater
626,central
627,win
628,whole
629,points
630,european
631,subscribing
632,thanks
633,doesn
634,medical
635,sense
636,facebook
637,father
638,wednesday
639,provide
640,conservative
641,third
642,california
643,although
644,earlier
645,website
646,intelligence
647,jobs
648,started
649,latest
650,twitter
651,child
652,perhaps
653,series
654,result
655,additional
656,outside
657,building
658,became
659,march
660,turn
661,conditions
662,wanted
663,mother
664,southern
665,rate
666,itself
667,near
668,available
669,friends
670,board
671,fight
672,ll
673,age
674,cost
675,candidate
676,led
677,shows
678,problems
679,natural
680,michael
681,increase
682,buy
683,above
684,member
685,due
686,running
687,george
688,higher
689,role
690,include
691,district
692,senator
693,morning
694,watch
695,page
696,received
697,understand
698,experience
699,не
700,civil
701,record
702,cut
703,mind
704,secretary
705,strong
706,meeting
707,debt
708,gold
709,bring
710,wall
711,growth
712,mean
713,county
714,else
715,interview
716,crisis
717,attacks
718,speech
719,form
720,wrong
721,james
722,hand
723,project
724,movement
725,nations
726,plans
727,parents
728,created
729,room
730,gop
731,что
732,music
733,longer
734,short
735,common
736,published
737,space
738,majority
739,army
740,property
741,light
742,saw
743,science
744,released
745,iraqi
746,expected
747,create
748,front
749,cause
750,event
751,citizens
752,girls
753,radio
754,texas
755,weapons
756,results
757,technology
758,saturday
759,spending
760,announced
761,questions
762,violence
763,writes
764,art
765,land
766,similar
767,population
768,entire
769,climate
770,total
771,position
772,gave
773,hit
774,class
775,cultural
776,medicine
777,happened
778,response
779,immigration
780,round
781,yes
782,fire
783,cases
784,development
785,laws
786,wants
787,coast
788,gun
789,upon
790,investigation
791,stay
792,ask
793,car
794,wife
795,quite
796,works
797,single
798,involved
799,scientific
800,key
801,earth
802,son
803,robert
804,effort
805,muslim
806,word
807,situation
808,events
809,potential
810,tells
811,certain
812,religious
813,worked
814,ways
815,maybe
816,rest
817,goes
818,internet
819,thousands
820,june
821,hold
822,western
823,banks
824,film
825,heard
826,schools
827,efforts
828,seem
829,credit
830,value
831,red
832,debate
833,drug
834,sent
835,background
836,illegal
837,reality
838,enemy
839,al
840,allow
841,return
842,serious
843,judge
844,british
845,dollars
846,families
847,speaker
848,paid
849,registered
850,talking
851,heart
852,related
853,changed
854,capital
855,needed
856,allowed
857,council
858,budget
859,november
860,died
861,shot
862,minutes
863,governor
864,insurance
865,parliament
866,access
867,finally
868,happen
869,beyond
870,average
871,terms
872,low
873,toward
874,takes
875,conference
876,calls
877,gas
878,july
879,comments
880,threat
881,prices
882,senior
883,remember
884,fall
885,navy
886,assistance
887,mark
888,attention
889,ground
890,final
891,peace
892,boys
893,spent
894,stand
895,written
896,isn
897,fox
898,bit
899,moment
900,sometimes
901,millions
902,material
903,staff
904,brought
905,knew
906,sexual
907,decided
908,crime
909,message
910,production
911,yesterday
912,lower
913,moved
914,via
915,period
916,note
917,brings
918,inside
919,field
920,protect
921,programs
922,review
923,christian
924,visit
925,expansion
926,poor
927,currently
928,officer
929,sales
930,park
931,tried
932,leading
933,informed
934,voice
935,offer
936,numbers
937,rules
938,policies
939,officers
940,forward
941,costs
942,town
943,author
944,mass
945,secret
946,attorney
947,looks
948,term
949,claim
950,region
951,continued
952,original
953,jihad
954,agreement
955,fbi
956,growing
957,posted
958,comment
959,tv
960,image
961,letter
962,huge
963,cancer
964,provided
965,dead
966,effect
967,considered
968,books
969,popular
970,window
971,consider
972,pretty
973,various
974,attend
975,corporate
976,content
977,chinese
978,taxes
979,friend
980,benefits
981,worth
982,fear
983,april
984,с
985,certainly
986,income
987,individual
988,supports
989,ca
990,rates
991,answer
992,criminal
993,network
994,failed
995,previous
996,cents
997,passed
998,fund
999,learn
1000,largest
1001,noted
1002,areas
1003,stock
1004,chance
1005,appointed
1006,phone
1007,kids
1008,primary
1009,syrian
1010,amount
1011,obtained
1012,los
1013,brown
1014,analysis
1015,difficult
1016,included
1017,liberal
1018,reform
1019,nature
1020,september
1021,account
1022,barack
1023,felt
1024,release
1025,safety
1026,levels
1027,constitution
1028,interior
1029,opposition
1030,un
1031,january
1032,returning
1033,gets
1034,particularly
1035,foundation
1036,embassy
1037,king
1038,french
1039,details
1040,worse
1041,decades
1042,significant
1043,upcoming
1044,giving
1045,couple
1046,rule
1047,players
1048,played
1049,step
1050,terrorist
1051,professor
1052,playing
1053,opinion
1054,views
1055,present
1056,impact
1057,television
1058,germany
1059,focus
1060,alone
1061,throughout
1062,investment
1063,road
1064,marriage
1065,appeared
1066,century
1067,remain
1068,indeed
1069,particular
1070,choice
1071,korea
1072,update
1073,met
1074,easy
1075,universities
1076,democracy
1077,chairman
1078,check
1079,markets
1080,calling
1081,labor
1082,loss
1083,candidates
1084,victory
1085,hands
1086,clearly
1087,actions
1088,hear
1089,quickly
1090,sex
1091,sources
1092,florida
1093,legislation
1094,ability
1095,consideration
1096,institute
1097,exactly
1098,san
1099,green
1100,meet
1101,pass
1102,employees
1103,guy
1104,authorities
1105,rise
1106,doctrine
1107,forced
1108,thinking
1109,holidays
1110,opportunity
1111,born
1112,authority
1113,amendment
1114,prime
1115,beginning
1116,seven
1117,pressure
1118,fighting
1119,demand
1120,biggest
1121,commission
1122,elections
1123,unity
1124,fair
1125,aids
1126,begin
1127,london
1128,ones
