,word
0,num
1,said
2,one
3,new
4,time
5,would
6,state
7,year
8,peopl
9,like
10,also
11,use
12,us
13,say
14,make
15,even
16,get
17,go
18,work
19,american
20,news
21,govern
22,presid
23,report
24,stori
25,first
26,right
27,two
28,mani
29,nation
30,day
31,trump
32,could
33,continu
34,read
35,come
36,world
37,take
38,url
39,last
40,think
41,want
42,may
43,know
44,way
45,includ
46,call
47,see
48,iran
49,back
50,york
51,polit
52,need
53,date
54,countri
55,public
56,support
57,tri
58,obama
59,pleas
60,much
61,well
62,war
63,unit
64,chang
65,show
66,look
67,hous
68,thing
69,live
70,help
71,group
72,compani
73,law
74,made
75,republican
76,main
77,health
78,good
79,week
80,million
81,issu
82,sign
83,democrat
84,inform
85,sinc
86,still
87,point
88,percent
89,part
90,power
91,leader
92,servic
93,offic
94,citi
95,plan
96,end
97,gener
98,anoth
99,univers
100,rec
101,attack
102,forc
103,life
104,must
105,vote
106,parti
107,elect
108,fact
109,newslett
110,market
111,famili
112,person
113,follow
114,nuclear
115,america
116,offici
117,believ
118,case
119,start
120,accord
121,product
122,school
123,place
124,offer
125,home
126,white
127,ask
128,today
129,recent
130,view
131,turn
132,everi
133,ad
134,system
135,organ
136,three
137,secur
138,receiv
139,program
140,talk
141,month
142,find
143,around
144,militari
145,islam
146,advertis
147,money
148,media
149,told
150,give
151,long
152,articl
153,play
154,never
155,realli
156,iranian
157,senat
158,head
159,feder
160,post
161,student
162,former
163,polici
164,put
165,member
166,next
167,run
168,claim
169,number
170,campaign
171,provid
172,agenc
173,found
174,game
175,human
176,thank
177,busi
178,becom
179,polic
180,without
181,mean
182,в
183,email
184,move
185,later
186,name
187,question
188,open
189,man
190,foreign
191,major
192,tax
193,seem
194,bill
195,minist
196,children
197,differ
198,commun
199,interest
200,current
201,happen
202,might
203,tell
204,women
205,photo
206,bank
207,social
208,keep
209,author
210,share
211,sourc
212,great
213,order
214,court
215,someth
216,creat
217,subscrib
218,problem
219,street
220,job
221,care
222,clinton
223,book
224,control
225,let
226,special
227,administr
228,kill
229,econom
230,littl
231,allow
232,set
233,free
234,reason
235,act
236,import
237,result
238,left
239,chief
240,intern
241,agre
242,increas
243,black
244,sever
245,washington
246,big
247,video
248,high
249,cultur
250,updat
251,howev
252,lead
253,russia
254,john
255,research
256,rate
257,suprem
258,appear
259,lot
260,best
261,far
262,develop
263,real
264,team
265,face
266,feel
267,address
268,actual
269,leav
270,depart
271,second
272,respons
273,oper
274,food
275,possibl
276,press
277,love
278,center
279,base
280,trade
281,energi
282,yet
283,close
284,write
285,rule
286,economi
287,pay
288,better
289,note
290,less
291,alreadi
292,though
293,return
294,least
295,word
296,got
297,studi
298,th
299,protect
300,effect
301,associ
302,build
303,bring
304,de
305,deal
306,expect
307,и
308,price
309,defens
310,caus
311,hope
312,iraq
313,among
314,fund
315,investig
316,histori
317,stop
318,meet
319,area
320,hand
321,posit
322,whether
323,away
324,natur
325,consid
326,action
327,top
328,record
329,past
330,ago
331,comment
332,larg
333,other
334,enough
335,manag
336,global
337,billion
338,line
339,click
340,site
341,pass
342,came
343,remain
344,alway
345,russian
346,industri
347,death
348,cours
349,requir
350,level
351,cost
352,addit
353,thought
354,financi
355,event
356,critic
357,men
358,north
359,occur
360,societi
361,water
362,four
363,releas
364,cut
365,bush
366,execut
367,congress
368,ever
369,risk
370,took
371,local
372,friend
373,known
374,fight
375,list
376,side
377,repres
378,final
379,idea
380,effort
381,win
382,togeth
383,matter
384,given
385,select
386,sure
387,candid
388,night
389,announc
390,hour
391,noth
392,watch
393,often
394,director
395,oil
396,hold
397,kind
398,educ
399,decis
400,conserv
401,concern
402,process
403,understand
404,china
405,charg
406,daili
407,futur
408,young
409,small
410,statement
411,immigr
412,old
413,account
414,relat
415,warn
416,went
417,involv
418,project
419,begin
420,term
421,activ
422,serv
423,south
424,shop
425,fire
426,clear
427,form
428,danger
429,rais
430,box
431,spend
432,privat
433,god
434,donald
435,complet
436,within
437,earli
438,friday
439,learn
440,justic
441,done
442,almost
443,stand
444,suggest
445,die
446,seen
447,full
448,legal
449,exampl
450,union
451,condit
452,discuss
453,abl
454,aid
455,border
456,west
457,present
458,five
459,israel
460,drug
461,republ
462,across
463,experi
464,page
465,race
466,plu
467,corpor
468,soon
469,onlin
470,subject
471,interview
472,voter
473,origin
474,publish
475,instead
476,muslim
477,evid
478,buy
479,age
480,hard
481,along
482,bodi
483,rather
484,anyth
485,girl
486,produc
487,individu
488,design
489,valu
490,constitut
491,institut
492,la
493,speak
494,direct
495,assist
496,error
497,protest
498,christian
499,dollar
500,perform
501,editor
502,test
503,reader
504,church
505,explain
506,season
507,gun
508,data
509,someon
510,fail
511,worker
512,committe
513,benefit
514,decid
515,air
516,taken
517,wrote
518,sunday
519,add
520,region
521,monday
522,reach
523,на
524,east
525,mind
526,liber
527,bad
528,cover
529,link
530,success
531,visit
532,true
533,invest
534,tuesday
535,hear
536,late
537,medic
538,attempt
539,art
540,total
